# Coordinates of the key push via a pointer finger tip position (FIXED MID-AIR tests): #
# Where X position is left and right #
# Where Y position is up and down #
# Where Z position is forward and backward #
# ------------------------------------------------------- #
 
1650502700.049,Condition,MID-AIR FIXED,175 FPS
1650502700.049,Participant ID,1,175 FPS
1650502700.049,Date,4/20/2022,175 FPS
1650502700.055,Time,8:58 PM,175 FPS

1650502700.055,Button Pushed,BEGIN,175 FPS
1650502951.786,Key Pushed,c        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),98 FPS
1650502955.274,Key Pushed,a        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),158 FPS
1650502958.414,Key Pushed,l        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),103 FPS
1650502959.69,Key Pushed,i        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),140 FPS
1650502960.741,Key Pushed,b        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),133 FPS
1650502961.852,Key Pushed,r        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),105 FPS
1650502963.107,Key Pushed,a        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),152 FPS
1650502964.544,Key Pushed,t        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),128 FPS
1650502965.205,Key Pushed,e        ,(X: -0.0316 Y: -0.5817 Z: -1.4928),169 FPS
1650502965.205,End Calibrating
Button Pushed: Calibrate

1650502968.242,Button Pushed,START,134 FPS

1650502968.242,Sentence to type (Practice),Did we get ours back?,134 FPS
1650502970.825,Sentence typed,,144 FPS
1650502970.825,Character Error Rate,100.00%,144 FPS
1650502970.825,Words Per Minute,ERROR WPM IS ZERO,144 FPS
1650502970.825,Backspace Per Output Character,ERROR NO SENTENCE TYPED,144 FPS
1650502970.825,Button Pushed,NEXT,144 FPS

1650502973.13,Sentence to type (Practice),I will bring John Brindle.,199 FPS
1650502976.025,Sentence typed,,154 FPS
1650502976.025,Character Error Rate,100.00%,154 FPS
1650502976.025,Words Per Minute,ERROR WPM IS ZERO,154 FPS
1650502976.025,Backspace Per Output Character,ERROR NO SENTENCE TYPED,154 FPS
1650502976.025,Button Pushed,NEXT,154 FPS

